UART command listener started.

Waiting for command:

Received '1' command. GPIO high, start read.

Addr 0x101002FA = 0x5C56

Addr 0x101002FC = 0x7137

Addr 0x101002FE = 0x7D11

Addr 0x10100300 = 0x7CE9

Addr 0x10100302 = 0x6EC3

Addr 0x10100304 = 0x56A4

Addr 0x10100306 = 0x378F

Addr 0x10100308 = 0x1183

Addr 0x1010030A = 0xE984

Addr 0x1010030C = 0xC392

Addr 0x1010030E = 0xA4AA

Addr 0x10100310 = 0x8FC9

Addr 0x10100312 = 0x83EF

Addr 0x10100314 = 0x8417

Addr 0x10100316 = 0x923D

Addr 0x10100318 = 0xAA5C

Addr 0x1010031A = 0xC971

Addr 0x1010031C = 0xEF7D

Addr 0x1010031E = 0x177C

Addr 0x10100320 = 0x3D6E

Addr 0x10100322 = 0x5C56

Addr 0x10100324 = 0x7137

Addr 0x10100326 = 0x7D11

Addr 0x10100328 = 0x7CE9

Addr 0x1010032A = 0x6EC3

Addr 0x1010032C = 0x56A4

Addr 0x1010032E = 0x378F

Addr 0x10100330 = 0x1183

Addr 0x10100332 = 0xE984

Addr 0x10100334 = 0xC392

Addr 0x10100336 = 0xA4AA

Addr 0x10100338 = 0x8FC9

Addr 0x1010033A = 0x83EF

Addr 0x1010033C = 0x8417

Addr 0x1010033E = 0x923D

Addr 0x10100340 = 0xAA5C

Addr 0x10100342 = 0xC971

Addr 0x10100344 = 0xEF7D

Addr 0x10100346 = 0x177C

Addr 0x10100348 = 0x3D6E

Addr 0x1010034A = 0x5C56

Addr 0x1010034C = 0x7137

Addr 0x1010034E = 0x7D11

Addr 0x10100350 = 0x7CE9

Addr 0x10100352 = 0x6EC3

Addr 0x10100354 = 0x56A4

Addr 0x10100356 = 0x378F

Addr 0x10100358 = 0x1183

Addr 0x1010035A = 0xE984

Addr 0x1010035C = 0xC392

Addr 0x1010035E = 0xA4AA

Addr 0x10100360 = 0x8FC9

Addr 0x10100362 = 0x83EF

Addr 0x10100364 = 0x8417

Addr 0x10100366 = 0x923D

Addr 0x10100368 = 0xAA5C

Addr 0x1010036A = 0xC971

Addr 0x1010036C = 0xEF7D

Addr 0x1010036E = 0x177C

Addr 0x10100370 = 0x3D6E

Addr 0x10100372 = 0x5C56

Addr 0x10100374 = 0x7137

Addr 0x10100376 = 0x7D11

Addr 0x10100378 = 0x7CE9

Addr 0x1010037A = 0x6EC3

Addr 0x1010037C = 0x56A4

Addr 0x1010037E = 0x378F

Addr 0x10100380 = 0x1183

Addr 0x10100382 = 0xE984

Addr 0x10100384 = 0xC392

Addr 0x10100386 = 0xA4AA

Addr 0x10100388 = 0x8FC9

Addr 0x1010038A = 0x83EF

Addr 0x1010038C = 0x8417

Addr 0x1010038E = 0x923D

Addr 0x10100390 = 0xAA5C

Addr 0x10100392 = 0xC971

Addr 0x10100394 = 0xEF7D

Addr 0x10100396 = 0x177C

Addr 0x10100398 = 0x3D6E

Addr 0x1010039A = 0x5C56

Addr 0x1010039C = 0x7137

Addr 0x1010039E = 0x7D11

Addr 0x101003A0 = 0x7CE9

Addr 0x101003A2 = 0x6EC3

Addr 0x101003A4 = 0x56A4

Addr 0x101003A6 = 0x378F

Addr 0x101003A8 = 0x1183

Addr 0x101003AA = 0xE984

Addr 0x101003AC = 0xC392

Addr 0x101003AE = 0xA4AA

Addr 0x101003B0 = 0x8FC9

Addr 0x101003B2 = 0x83EF

Addr 0x101003B4 = 0x8417

Addr 0x101003B6 = 0x923D

Addr 0x101003B8 = 0xAA5C

Addr 0x101003BA = 0xC971

Addr 0x101003BC = 0xEF7D

Addr 0x101003BE = 0x177C

Addr 0x101003C0 = 0x3D6E

Addr 0x101003C2 = 0x5C56

Addr 0x101003C4 = 0x7137

Addr 0x101003C6 = 0x7D11

Addr 0x101003C8 = 0x7CE9

Addr 0x101003CA = 0x6EC3

Addr 0x101003CC = 0x56A4

Addr 0x101003CE = 0x378F

Addr 0x101003D0 = 0x1183

Addr 0x101003D2 = 0xE984

Addr 0x101003D4 = 0xC392

Addr 0x101003D6 = 0xA4AA

Addr 0x101003D8 = 0x8FC9

Addr 0x101003DA = 0x83EF

Addr 0x101003DC = 0x8417

Addr 0x101003DE = 0x923D

Addr 0x101003E0 = 0xAA5C

Addr 0x101003E2 = 0xC971

Addr 0x101003E4 = 0xEF7D

Addr 0x101003E6 = 0x177C

Addr 0x101003E8 = 0x3D6E

Addr 0x101003EA = 0x5C56

Addr 0x101003EC = 0x7137

Addr 0x101003EE = 0x7D11

Addr 0x101003F0 = 0x7CE9

Addr 0x101003F2 = 0x6EC3

Addr 0x101003F4 = 0x56A4

Addr 0x101003F6 = 0x378F

Addr 0x101003F8 = 0x1183

Addr 0x101003FA = 0xE984

Addr 0x101003FC = 0xC392

Addr 0x101003FE = 0xA4AA

Addr 0x10100400 = 0x8FC9

Addr 0x10100402 = 0x83EF

Addr 0x10100404 = 0x8417

Addr 0x10100406 = 0x923D

Addr 0x10100408 = 0xAA5C

Addr 0x1010040A = 0xC971

Addr 0x1010040C = 0xEF7D

Addr 0x1010040E = 0x177C

Addr 0x10100410 = 0x3D6E

Addr 0x10100412 = 0x5C56

Addr 0x10100414 = 0x7137

Addr 0x10100416 = 0x7D11

Addr 0x10100418 = 0x7CE9

Addr 0x1010041A = 0x6EC3

Addr 0x1010041C = 0x56A4

Addr 0x1010041E = 0x378F

Addr 0x10100420 = 0x1183

Addr 0x10100422 = 0xE984

Addr 0x10100424 = 0xC392

Addr 0x10100426 = 0xA4AA

Addr 0x10100428 = 0x8FC9

Addr 0x1010042A = 0x83EF

Addr 0x1010042C = 0x8417

Addr 0x1010042E = 0x923D

Addr 0x10100430 = 0xAA5C

Addr 0x10100432 = 0xC971

Addr 0x10100434 = 0xEF7D

Addr 0x10100436 = 0x177C

Addr 0x10100438 = 0x3D6E

Addr 0x1010043A = 0x5C56

Addr 0x1010043C = 0x7137

Addr 0x1010043E = 0x7D11

Addr 0x10100440 = 0x7CE9

Addr 0x10100442 = 0x6EC3

Addr 0x10100444 = 0x56A4

Addr 0x10100446 = 0x378F

Addr 0x10100448 = 0x1183

Addr 0x1010044A = 0xE984

Addr 0x1010044C = 0xC392

Addr 0x1010044E = 0xA4AA

Addr 0x10100450 = 0x8FC9

Addr 0x10100452 = 0x83EF

Addr 0x10100454 = 0x8417

Addr 0x10100456 = 0x923D

Addr 0x10100458 = 0xAA5C

Addr 0x1010045A = 0xC971

Addr 0x1010045C = 0xEF7D

Addr 0x1010045E = 0x177C

Addr 0x10100460 = 0x3D6E

Addr 0x10100462 = 0x5C56

Addr 0x10100464 = 0x7137

Addr 0x10100466 = 0x7D11

Addr 0x10100468 = 0x7CE9

Addr 0x1010046A = 0x6EC3

Addr 0x1010046C = 0x56A4

Addr 0x1010046E = 0x378F

Addr 0x10100470 = 0x1183

Addr 0x10100472 = 0xE984

Addr 0x10100474 = 0xC392

Addr 0x10100476 = 0xA4AA

Addr 0x10100478 = 0x8FC9

Addr 0x1010047A = 0x83EF

Addr 0x1010047C = 0x8417

Addr 0x1010047E = 0x923D

Addr 0x10100480 = 0xAA5C

Addr 0x10100482 = 0xC971

Addr 0x10100484 = 0xEF7D

Addr 0x10100486 = 0x177C

Addr 0x10100488 = 0x3D6E

Addr 0x1010048A = 0x5C56

Addr 0x1010048C = 0x7137

Addr 0x1010048E = 0x7D11

Addr 0x10100490 = 0x7CE9

Addr 0x10100492 = 0x6EC3

Addr 0x10100494 = 0x56A4

Addr 0x10100496 = 0x378F

Addr 0x10100498 = 0x1183

Addr 0x1010049A = 0xE984

Addr 0x1010049C = 0xC392

Addr 0x1010049E = 0xA4AA

Addr 0x101004A0 = 0x8FC9

Addr 0x101004A2 = 0x83EF

Addr 0x101004A4 = 0x8417

Addr 0x101004A6 = 0x923D

Addr 0x101004A8 = 0xAA5C

Addr 0x101004AA = 0xC971

Addr 0x101004AC = 0xEF7D

Addr 0x101004AE = 0x177C

Addr 0x101004B0 = 0x3D6E

Addr 0x101004B2 = 0x5C56

Addr 0x101004B4 = 0x7137

Addr 0x101004B6 = 0x7D11

Addr 0x101004B8 = 0x7CE9

Addr 0x101004BA = 0x6EC3

Addr 0x101004BC = 0x56A4

Addr 0x101004BE = 0x378F

Addr 0x101004C0 = 0x1183

Addr 0x101004C2 = 0xE984

Addr 0x101004C4 = 0xC392

Addr 0x101004C6 = 0xA4AA

Addr 0x101004C8 = 0x8FC9

Addr 0x101004CA = 0x83EF

Addr 0x101004CC = 0x8417

Addr 0x101004CE = 0x923D

Addr 0x101004D0 = 0xAA5C

Addr 0x101004D2 = 0xC971

Addr 0x101004D4 = 0xEF7D

Addr 0x101004D6 = 0x177C

Addr 0x101004D8 = 0x3D6E

Addr 0x101004DA = 0x5C56

Addr 0x101004DC = 0x7137

Addr 0x101004DE = 0x7D11

Addr 0x101004E0 = 0x7CE9

Addr 0x101004E2 = 0x6EC3

Addr 0x101004E4 = 0x56A4

Addr 0x101004E6 = 0x378F

Addr 0x101004E8 = 0x1183

Addr 0x101004EA = 0xE984

Addr 0x101004EC = 0xC392

Addr 0x101004EE = 0xA4AA

Addr 0x101004F0 = 0x8FC9

Addr 0x101004F2 = 0x83EF

Addr 0x101004F4 = 0x8417

Addr 0x101004F6 = 0x923D

Addr 0x101004F8 = 0xAA5C

Addr 0x101004FA = 0xC971

